기준일,시간대,자치구,남자0-9세,남자10-14세,남자15-19세,남자20-24세,남자25-29세,남자30-34세,남자35-39세,남자40-44세,남자45-49세,남자50-54세,남자55-59세,남자60-64세,남자65-69세,남자70세이상,여자0-9세,여자10-14세,여자15-19세,여자20-24세,여자25-29세,여자30-34세,여자35-39세,여자40-44세,여자45-49세,여자50-54세,여자55-59세,여자60-64세,여자65-69세,여자70세이상
20200110,2,동대문구,11184.7422,5593.2891,8033.035,15522.4965,16584.2175,13325.8844,15015.7923,13805.237,14253.9385,11730.733,13166.6811,10797.6414,8253.9563,17438.9798,10527.3927,5236.47,8998.9222,20648.0232,15917.3126,13340.6955,14536.0174,12534.3108,13116.4612,12178.2589,13610.4094,13058.44,9627.866,28888.5829
20200110,2,중랑구,13861.3311,6682.3367,8673.0012,10820.1281,14117.4736,13582.859,16469.0654,14382.2435,15158.5987,14768.5258,15639.8571,13168.0994,9586.9406,19015.0114,12875.4473,6153.5398,8585.4719,13306.3094,15629.0618,14808.4532,16382.7648,13346.7024,15839.1975,16003.3062,18491.9611,15782.3723,11734.916,30557.5706
20200110,2,성북구,17054.0933,9546.7116,12409.4917,16494.9615,17228.0183,13916.2859,16961.0006,16184.1037,19037.5023,14829.3264,15524.7777,12956.9083,9232.872,21130.9961,16440.3143,9024.955,13155.4102,23298.6451,17875.9297,15508.5573,18314.1384,17203.022,19454.8499,16572.3644,18249.7477,15932.2665,12693.4734,35818.0008
20200110,2,강북구,10508.9627,5770.5107,7898.5565,9551.766,10978.4511,10120.5397,11953.5705,11483.7467,13456.6046,11559.5948,12406.5062,10319.7973,8070.1869,19532.4057,9774.6726,5336.8399,8041.8144,13194.3771,12139.9304,10141.652,11941.5323,11363.293,14309.3217,13164.1706,14850.7042,13365.7952,10784.0977,32056.7333
20200110,2,도봉구,10131.3501,5603.3592,7579.8461,8169.4195,9391.8484,8855.7358,10910.3669,10082.8294,11653.0111,10131.5936,11435.3241,10577.1754,7547.3591,16272.9011,9089.1324,5094.6256,7242.6259,10265.168,10291.8442,9836.0964,11042.8641,10042.8708,12756.7382,12037.0033,14177.3651,13022.9087,9491.3026,25628.2092
20200110,2,노원구,21589.4866,14076.3515,19984.179,20145.7745,17514.0015,15271.7964,18920.9652,19216.2977,23832.5482,19808.1093,19938.3848,17269.3117,12483.4249,24689.7636,20397.8891,13095.987,17977.5364,21782.2752,18208.8863,17075.4285,20666.3328,21353.8051,26931.3149,22827.9819,24431.9695,21570.4266,15518.2452,42920.3531
20200110,2,은평구,18419.4234,10141.3702,12844.7497,12983.2271,16160.8794,15900.481,20445.9925,18250.4949,20283.4125,16735.2149,16693.0297,14653.9657,10486.4739,23518.5291,16536.774,9091.768,12854.2074,16435.7663,18991.7469,18003.4169,21510.4876,19343.3829,22001.7603,18891.108,21094.631,18785.8583,14183.9406,39517.9122
20200110,2,서대문구,11428.6905,5682.0078,8469.0872,13933.3111,15736.7041,12498.3791,14125.7979,13033.5844,14795.4561,11603.0139,12025.8358,9761.6024,6846.2081,15637.451,10662.3626,5572.105,9764.9361,21756.4118,18036.6357,13906.0971,14901.5927,13258.509,14225.2298,12833.3833,14123.8953,12421.9687,9076.6414,26256.9002
20200110,2,마포구,13724.3624,6908.0513,10516.8768,16119.2237,19090.6001,17884.8901,21069.8446,18091.8346,18448.9186,13434.3593,13318.3011,10310.3532,7114.6241,16152.0382,13349.8608,6610.6694,11649.5286,23241.4037,23807.8071,21751.5874,21996.5289,18874.9365,18089.7419,14128.9774,14852.9191,12895.9362,9246.0116,26486.4618
20200110,2,양천구,17829.9132,12523.8795,15164.1983,11306.4478,12549.0104,12264.2301,15553.2035,16662.4713,20072.9273,16090.9309,15347.8149,12604.2689,9409.7165,17518.139,16491.2594,11282.5139,13954.47,12928.3705,14192.0743,14052.2962,17444.4378,18202.5551,20746.3575,16945.4774,17414.0223,15467.0473,11508.68,27291.0248
20200110,2,강서구,21827.6875,10023.9899,12986.2439,14303.0446,22260.964,24233.7535,28047.8737,23300.2595,22994.4585,17622.6532,19267.5186,16520.5544,12635.5829,24390.3802,21036.585,9596.3988,13031.2223,18906.9762,26902.2105,27094.6793,27199.2658,22564.6845,21793.7176,18978.1826,23107.5549,21227.0392,15789.7896,37543.5919
20200110,2,구로구,14470.906,6482.8206,7867.4438,10054.77,14231.5496,15382.2122,18451.7879,17372.6148,17112.2129,13322.937,14216.8355,11905.6371,8867.2559,16983.4598,15361.1671,6665.3902,8244.8799,12588.4563,15692.4866,15742.6498,17136.2061,14966.3198,15452.1742,13385.7376,15874.4541,14234.0579,10790.3072,24566.2949
20200110,2,금천구,5869.577,2831.7869,3892.3894,5748.1503,10342.9002,10350.4858,10749.3253,8718.7335,9128.5201,7759.5841,8509.2352,6915.7907,5056.1916,9003.1198,6113.4131,3075.2826,3675.7717,6964.1415,9563.5407,8645.9439,8832.1927,7203.7228,8231.9599,7783.9925,8820.655,7911.8421,5918.466,12856.8093
20200110,2,영등포구,13280.968,5926.0873,8028.6524,10484.8917,18145.4134,19999.1706,21621.4574,17622.643,18060.913,14682.6278,15027.9838,12058.1597,8751.3957,17542.2789,13251.0784,5552.7828,7396.6599,14529.0179,20580.2755,19738.4922,18949.2956,15489.4157,15024.2755,14013.8629,15717.3987,14238.1738,10249.6615,25718.1765
20200110,2,동작구,13491.631,6375.312,9517.0372,16746.022,23222.8205,18488.7735,18018.9356,15392.7624,16013.1307,12585.1234,13153.7026,11594.5439,8479.4047,18936.1083,13688.869,6302.5273,9528.0582,21039.1937,22091.4103,17556.5132,17995.7393,15712.0952,15546.165,14375.6055,16728.1218,15210.5367,11467.3141,30168.2539
20200110,2,관악구,12854.5069,6349.2851,10709.3802,23348.6645,39594.451,30839.0299,25385.472,20052.2548,20943.9315,15547.7816,15879.7567,13231.3653,10218.6503,22882.9051,12878.7141,6283.5819,10790.8274,31757.9555,37788.4166,26220.0138,22068.3451,17468.5566,17789.3866,16644.6879,19105.6109,17217.6631,14073.2247,33090.514
20200110,2,서초구,17681.4728,9984.2206,13327.2262,13861.0112,16909.5891,17670.0168,22358.2712,22378.2217,24987.7812,18253.5465,16242.5508,13102.1052,10089.2816,20637.3439,19241.2453,10711.2931,14335.5818,16343.3573,18693.5109,19931.5702,23752.6935,22557.7119,22925.4419,17238.736,17458.1493,16684.0828,12952.5951,31078.311
20200110,2,강남구,22549.0712,14881.4547,22380.7882,18270.748,25276.3036,26656.8437,32461.7166,31209.7982,33802.3974,25323.168,20719.1023,16933.1426,12997.6787,25923.2238,21787.1417,13893.2805,22163.4574,24620.2639,28665.2153,29235.7396,32631.5992,30771.181,31623.8172,22213.2599,22118.8907,21094.8422,16206.1595,38578.6178
